"DividendStocks","EmergingMarkets","ForeignStocks","MunicipalBonds","NaturalResources","RiskTolerance","USStocks","q1","q2","q3","q4","q5","q6","q7","q8"
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,4,95,17940000,2,67714000,2,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,2,33,68527000,4,50352000,1,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,1,71,93291000,4,34119000,2,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,89,83735000,5,93350000,2,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,4,52,19398000,1,75739000,1,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,1,26,77615000,1,31001000,2,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,63,60529000,4,22245000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,37,43770000,4,16243000,3,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,3,39,43543000,1,35763000,2,2
0.15,0.05,0.05,0.35,0.07,0.005,0.08,2,1,98,99979000,4,3193000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,57,83908000,3,22136000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,4,57,81091000,3,28118000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,83,58740000,2,42134000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,49,5142000,2,12780000,3,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,1,95,40687000,1,43265000,1,3
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,3,96,51345000,3,56686000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,2,95,45345000,5,37828000,1,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,2,57,24617000,4,12089000,2,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,1,53,5542000,3,41804000,3,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,1,3,71,11814000,3,89144000,2,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,3,73,15954000,4,51818000,1,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,3,56,33668000,5,70798000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,2,95,68584000,5,35669000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,77,96338000,3,80583000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,4,86,94392000,4,57433000,2,4
0.09,0.18,0.24,0.09,0.05,0.085,0.35,4,1,71,35950000,1,41714000,3,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,2,3,76,77922000,2,15021000,1,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,39,32984000,4,31220000,3,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,1,21,77326000,5,71464000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,79,29553000,3,35096000,2,3
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,4,94,89563000,2,61558000,2,2
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,1,82,36005000,4,23106000,1,1
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,3,42,5092000,2,94601000,1,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,4,2,64,69634000,2,24992000,2,1
0.05,0.11,0.14,0.33,0.05,0.045,0.32,4,4,91,23399000,1,84630000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,47,83705000,3,10386000,3,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,4,4,51,69420000,1,50580000,1,4
0.08,0.17,0.22,0.13,0.05,0.08,0.35,4,2,59,12306000,1,37525000,3,3
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,47,10387000,5,81630000,2,4
0.1,0.19,0.25,0.06,0.05,0.09,0.35,1,2,53,11310000,5,42274000,1,3
0.08,0.05,0.11,0.35,0.06,0.025,0.26,4,4,77,44806000,2,7815000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,27,53800000,1,68019000,3,1
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,2,33,8831000,2,41662000,3,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,2,29,89065000,3,12540000,2,1
0.05,0.28,0.22,0.05,0.05,0.1,0.35,2,2,56,43172000,4,32833000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,3,53,63857000,4,30105000,2,4
0.06,0.14,0.17,0.23,0.05,0.06,0.35,1,4,89,36453000,5,9041000,3,2
0.09,0.18,0.24,0.09,0.05,0.085,0.35,1,4,54,45523000,3,75065000,3,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,2,56,48478000,5,92309000,2,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,2,4,57,42625000,3,30737000,2,3
0.09,0.18,0.24,0.09,0.05,0.085,0.35,2,3,97,12487000,3,63282000,3,4
0.08,0.06,0.12,0.35,0.06,0.03,0.27,4,1,91,72508000,3,18011000,2,1
0.1,0.19,0.25,0.06,0.05,0.09,0.35,4,3,38,29449000,4,5403000,1,3
0.08,0.17,0.22,0.13,0.05,0.08,0.35,1,4,95,67245000,4,62797000,1,2
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,4,57,78696000,4,85267000,3,2
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,1,72,47257000,1,33951000,2,2
0.08,0.17,0.22,0.13,0.05,0.08,0.35,2,2,28,23690000,1,91133000,3,3
0.08,0.08,0.13,0.35,0.06,0.035,0.3,1,1,68,14617000,2,54060000,2,1
0.07,0.15,0.2,0.18,0.05,0.07,0.35,1,4,98,16896000,2,93946000,3,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,4,48,31609000,5,97091000,1,4
0.05,0.11,0.14,0.33,0.05,0.045,0.32,2,1,96,58075000,2,36246000,2,4
0.07,0.09,0.13,0.35,0.06,0.04,0.3,1,3,63,81269000,1,94271000,3,1
0.07,0.09,0.13,0.35,0.06,0.04,0.3,4,2,58,20068000,2,1652000,2,2
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,4,41,92726000,4,68976000,1,4
0.05,0.28,0.22,0.05,0.05,0.1,0.35,1,4,36,95969000,1,7045000,1,4
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,1,88,95132000,3,44413000,2,1
0.08,0.16,0.21,0.15,0.05,0.075,0.35,1,4,75,27896000,1,14709000,3,3
0.07,0.15,0.2,0.18,0.05,0.07,0.35,2,3,32,93867000,4,46511000,3,2
0.08,0.08,0.13,0.35,0.06,0.035,0.3,2,1,64,4470000,4,67012000,2,1
